img_size,precision,batch,iters/warmup,repeats,ms_per_patch,patch_per_s
224,FP16(AMP),16,120/30,2,1.399214006960392,714.8893022756944
224,FP16(AMP),24,120/30,2,1.1926310343874826,838.4822927426005
224,FP16(AMP),32,120/30,2,1.1274267608920734,886.9755757655837
224,FP16(AMP),48,120/30,2,1.102262052396933,907.2252848320422
224,FP16(AMP),64,120/30,2,1.0631307183454433,940.618104967343
224,FP16(AMP),96,120/30,2,1.0353651208182175,965.8428510980136
224,FP16(AMP),128,120/30,2,1.0432124215488634,958.5775432707975
224,FP16(AMP),160,120/30,2,1.0804514586925507,925.5390362693995
224,FP16(AMP),192,120/30,2,1.110876382639011,900.1901702482724
224,FP16(AMP),224,120/30,2,1.1016372591257095,907.7398136420712
224,FP16(AMP),256,120/30,2,1.0963580881555877,912.1107518514357
224,FP16(AMP),320,120/30,2,1.1013446748256683,907.9809644806285
224,FP16(AMP),384,120/30,2,1.1047872740568385,905.1516286844385
224,FP16(AMP),448,120/30,2,1.1253013652527617,888.6508382220044
224,FP16(AMP),512,120/30,2,1.1073126690462232,903.0872951300769
