file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test0.tif	2048	1536	fast_grid	54	54	1	793.834	10.153	805.135	209.758	42.069	19.546	1880.495	28.716	0.531775	34.823990	3.884407	global_mix=1;warmup_sync_ms=5666.33
test10.tif	2048	1536	fast_grid	54	54	2	780.502	12.636	0.006	208.390	51.674	15.240	1068.448	50.541	0.935937	19.786066	3.859071	global_mix=1
test11.tif	2048	1536	fast_grid	54	54	1	499.846	2.955	489.603	203.601	85.289	0.168	1281.463	42.139	0.780358	23.730800	3.770395	global_mix=1
test12.tif	2048	1536	fast_grid	54	54	2	521.053	5.007	34.047	189.808	61.017	2.667	813.599	66.372	1.229107	15.066641	3.514968	global_mix=1
test13.tif	2048	1536	fast_grid	54	54	1	299.985	3.024	267.626	172.567	30.677	5.790	779.669	69.260	1.282595	14.438316	3.195685	global_mix=1
test14.tif	2048	1536	fast_grid	54	54	2	302.546	3.054	37.674	169.788	32.845	2.029	547.936	98.552	1.825031	10.146959	3.144224	global_mix=1
test15.tif	2048	1536	fast_grid	54	54	1	144.867	3.152	0.025	168.399	33.929	0.149	350.520	154.057	2.852907	6.491104	3.118493	global_mix=1
test16.tif	2048	1536	fast_grid	54	54	2	168.670	4.661	0.008	154.999	33.794	22.290	384.423	140.470	2.601301	7.118944	2.870343	global_mix=1
test17.tif	2048	1536	fast_grid	54	54	2	128.490	3.011	0.022	153.360	34.602	23.821	343.306	157.294	2.912851	6.357524	2.840001	global_mix=1
test18.tif	2048	1536	fast_grid	54	54	1	141.088	8.076	0.022	153.652	41.201	13.926	357.965	150.853	2.793570	6.628979	2.845411	global_mix=1
test19.tif	2048	1536	fast_grid	54	54	2	126.933	5.290	0.007	150.179	34.798	9.339	326.547	165.367	3.062345	6.047169	2.781099	global_mix=1
test1.tif	2048	1536	fast_grid	54	54	1	164.644	3.548	0.019	143.234	21.993	0.165	333.603	161.869	2.997578	6.177827	2.652475	global_mix=1
test20.tif	2048	1536	fast_grid	54	54	2	113.208	3.616	0.007	145.600	26.854	0.164	289.449	186.561	3.454839	5.360169	2.696298	global_mix=1
test21.tif	2048	1536	fast_grid	54	54	1	126.710	4.071	0.026	147.493	30.743	0.163	309.206	174.641	3.234087	5.726042	2.731357	global_mix=1
test22.tif	2048	1536	fast_grid	54	54	2	116.018	3.652	0.008	138.424	26.264	9.796	294.162	183.573	3.399493	5.447436	2.563405	global_mix=1
test23.tif	2048	1536	fast_grid	54	54	1	117.593	3.572	0.024	135.833	24.985	12.548	294.556	183.327	3.394945	5.454733	2.515419	global_mix=1
test24.tif	2048	1536	fast_grid	54	54	1	113.696	3.728	0.024	146.233	26.286	3.082	293.050	184.269	3.412388	5.426851	2.708018	global_mix=1
test25.tif	2048	1536	fast_grid	54	54	2	130.879	3.801	0.007	145.316	27.864	2.435	310.301	174.024	3.222675	5.746320	2.691033	global_mix=1
test26.tif	2048	1536	fast_grid	54	54	1	108.900	3.451	0.024	142.106	33.384	0.168	288.034	187.478	3.471815	5.333959	2.631586	global_mix=1
test27.tif	2048	1536	fast_grid	54	54	2	99.474	3.983	0.007	148.674	31.706	9.503	293.348	184.082	3.408926	5.432361	2.753221	global_mix=1
test28.tif	2048	1536	fast_grid	54	54	1	117.521	3.148	0.018	156.884	29.609	21.170	328.350	164.459	3.045535	6.080547	2.905265	global_mix=1
test29.tif	2048	1536	fast_grid	54	54	2	113.669	3.160	0.006	147.398	31.116	16.488	311.836	173.168	3.206815	5.774740	2.729584	global_mix=1
test2.tif	2048	1536	fast_grid	54	54	1	119.457	2.936	0.026	142.654	31.869	14.146	311.088	173.584	3.214522	5.760893	2.641743	global_mix=1
test30.tif	2048	1536	fast_grid	54	54	2	121.248	3.696	0.006	143.781	35.612	1.714	306.057	176.438	3.267363	5.667725	2.662612	global_mix=1
test31.tif	2048	1536	fast_grid	54	54	2	127.473	4.443	0.025	145.554	36.052	0.901	314.448	171.730	3.180177	5.823109	2.695445	global_mix=1
test32.tif	2048	1536	fast_grid	54	54	1	122.832	3.677	0.017	158.611	35.828	6.829	327.794	164.737	3.050694	6.070264	2.937236	global_mix=1
test33.tif	2048	1536	fast_grid	54	54	2	122.631	4.168	0.007	152.874	33.491	4.594	317.765	169.937	3.146984	5.884530	2.831000	global_mix=1
test34.tif	2048	1536	fast_grid	54	54	1	114.430	3.070	0.027	141.400	28.815	0.126	287.867	187.587	3.473829	5.330866	2.618527	global_mix=1
test35.tif	2048	1536	fast_grid	54	54	2	121.248	3.726	0.007	143.561	25.514	0.138	294.193	183.553	3.399125	5.448024	2.658531	global_mix=1
test36.tif	2048	1536	fast_grid	54	54	1	115.525	3.092	0.023	145.289	22.873	0.148	286.951	188.186	3.484917	5.313905	2.690534	global_mix=1
test37.tif	2048	1536	fast_grid	54	54	2	118.024	4.132	0.007	151.768	27.955	16.568	318.453	169.570	3.140178	5.897283	2.810517	global_mix=1
test38.tif	2048	1536	fast_grid	54	54	1	109.446	3.249	0.023	153.619	29.406	21.259	317.003	170.346	3.154548	5.870418	2.844798	global_mix=1
test39.tif	2048	1536	fast_grid	54	54	1	114.218	3.066	0.021	139.372	26.518	2.476	285.671	189.029	3.500531	5.290203	2.580967	global_mix=1
test3.tif	2048	1536	fast_grid	54	54	2	112.041	3.470	0.007	144.591	28.984	1.954	291.048	185.537	3.435865	5.389769	2.677607	global_mix=1
test40.tif	2048	1536	fast_grid	54	54	1	111.766	3.117	0.022	162.856	37.614	0.130	315.505	171.154	3.169519	5.842691	3.015846	global_mix=1
test41.tif	2048	1536	fast_grid	54	54	2	112.797	3.630	0.007	159.137	36.422	7.119	319.112	169.220	3.133697	5.909479	2.946980	global_mix=1
test42.tif	2048	1536	fast_grid	54	54	1	116.108	3.581	0.023	154.488	34.933	15.855	324.987	166.160	3.077044	6.018282	2.860898	global_mix=1
test43.tif	2048	1536	fast_grid	54	54	2	119.311	2.955	0.007	151.970	33.793	5.386	313.422	172.292	3.190585	5.804114	2.814263	global_mix=1
test44.tif	2048	1536	fast_grid	54	54	1	113.731	3.246	0.022	150.711	33.224	0.151	301.085	179.351	3.321320	5.575650	2.790946	global_mix=1
test45.tif	2048	1536	fast_grid	54	54	2	139.358	7.419	0.006	151.623	26.545	1.415	326.365	165.459	3.064054	6.043796	2.807828	global_mix=1
test46.tif	2048	1536	fast_grid	54	54	2	158.848	7.629	0.025	153.117	26.390	1.412	347.422	155.431	2.878346	6.433735	2.835508	global_mix=1
test47.tif	2048	1536	fast_grid	54	54	1	153.091	3.167	0.020	164.163	31.829	0.126	352.396	153.237	2.837716	6.525853	3.040062	global_mix=1
test48.tif	2048	1536	fast_grid	54	54	2	133.041	4.088	0.007	167.098	36.425	8.722	349.380	154.560	2.862216	6.469993	3.094407	global_mix=1
test49.tif	2048	1536	fast_grid	54	54	1	147.238	4.724	0.021	172.967	45.616	25.913	396.478	136.199	2.522206	7.342190	3.203096	global_mix=1
test4.tif	2048	1536	fast_grid	54	54	2	135.819	3.125	0.007	159.459	36.941	16.004	351.354	153.691	2.846136	6.506548	2.952935	global_mix=1
