....img_size,precision,batch,iters/warmup,latency_ms_per_patch,throughput_patch_per_s
224,FP32,1,200/50,18.624266386032104,53.700575198516574
224,FP32,2,200/50,9.39946860074997,106.39936839569447
224,FP32,4,200/50,4.744480848312378,210.77233680087926
224,FP32,8,200/50,2.811339572072029,355.70231730108253
224,FP32,16,200/50,2.390069402754307,418.3978929010526
224,FP16(AMP),1,200/50,22.12381660938263,45.20022147119519
224,FP16(AMP),2,200/50,11.667332351207733,85.72257934879596
224,FP16(AMP),4,200/50,5.85135743021965,170.90684596280522
224,FP16(AMP),8,200/50,2.8900082409381866,346.0472691259139
224,FP16(AMP),16,200/50,1.48160669952631,675.0141657985746

[Saved] Word-ready table -> logs/tableA_word.tsv
