file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test0.tif	2048	1536	fast_grid	54	54	1	735.800	16.140	752.051	266.968	68.706	230.436	7127.274	7.577	0.140306	131.986562	4.943849	warmup_sync_ms=5808.11
test10.tif	2048	1536	fast_grid	54	54	1	448.394	2.857	0.058	130.675	32.448	30.642	194.517	277.610	5.140930	3.602173	2.419901	
test11.tif	2048	1536	fast_grid	54	54	1	243.175	3.153	0.068	124.994	32.471	30.551	188.494	286.481	5.305197	3.490637	2.314710	
test12.tif	2048	1536	fast_grid	54	54	1	106.763	2.814	0.028	144.959	32.546	30.550	208.559	258.919	4.794805	3.862204	2.684419	
test13.tif	2048	1536	fast_grid	54	54	1	143.628	2.821	0.048	143.901	32.139	30.660	207.185	260.637	4.826606	3.836757	2.664838	
test14.tif	2048	1536	fast_grid	54	54	1	98.713	3.233	0.055	130.706	32.651	30.253	195.348	276.430	5.119076	3.617551	2.420473	
test15.tif	2048	1536	fast_grid	54	54	1	91.676	3.016	0.021	126.392	32.344	30.552	189.676	284.696	5.272142	3.512523	2.340585	
test16.tif	2048	1536	fast_grid	54	54	1	89.418	3.051	0.021	130.519	32.476	30.487	193.865	278.544	5.158223	3.590096	2.417020	
test17.tif	2048	1536	fast_grid	54	54	1	93.240	2.991	0.021	123.597	32.083	30.674	186.739	289.174	5.355077	3.458123	2.288837	
test18.tif	2048	1536	fast_grid	54	54	1	100.661	2.783	0.021	126.190	32.505	30.586	189.649	284.737	5.272910	3.512011	2.336846	
test19.tif	2048	1536	fast_grid	54	54	1	93.480	2.751	0.023	123.855	32.651	30.353	188.324	286.740	5.309996	3.487483	2.293605	
test1.tif	2048	1536	fast_grid	54	54	1	90.152	2.890	0.021	137.166	33.368	30.340	201.450	268.056	4.964009	3.730557	2.540119	
test20.tif	2048	1536	fast_grid	54	54	1	87.562	3.019	0.021	132.568	33.398	29.788	196.321	275.060	5.093702	3.635571	2.454963	
test21.tif	2048	1536	fast_grid	54	54	1	92.639	2.996	0.058	141.994	33.123	30.071	205.665	262.563	4.862271	3.808615	2.629511	
test22.tif	2048	1536	fast_grid	54	54	1	92.578	2.793	0.030	124.725	33.661	29.436	189.154	285.482	5.286707	3.502846	2.309714	
test23.tif	2048	1536	fast_grid	54	54	1	101.657	2.747	0.052	131.795	32.740	30.320	196.370	274.991	5.092430	3.636480	2.440646	
test24.tif	2048	1536	fast_grid	54	54	1	89.760	2.764	0.032	145.416	36.086	27.258	209.145	258.194	4.781370	3.873057	2.692880	
test25.tif	2048	1536	fast_grid	54	54	1	93.440	2.987	0.025	129.745	32.261	30.726	193.116	279.625	5.178235	3.576222	2.402686	
test26.tif	2048	1536	fast_grid	54	54	1	89.459	3.051	0.015	127.141	32.291	30.802	191.410	282.117	5.224389	3.544629	2.354467	
